	GSM7985465_water_r1	GSM7985466_water_r2	GSM7985467_water_r3	GSM7985294_cip_0p78uM_r1	GSM7985295_cip_0p78uM_r2	GSM7985296_cip_0p78uM_r3	GSM7985297_cip_1p56uM_r1	GSM7985298_cip_1p56uM_r2	GSM7985299_cip_1p56uM_r3
PA14_RS27400	5.15146490703731	5.74008938306479	4.27034208643555	10.9144142436515	6.97438019671302	7.07006457195532	6.98132488810823	7.20600969653352	0
PA14_RS27405	15.4543947211119	20.5003192252314	14.5191630938809	52.5876322648662	38.7465566484057	38.3803505334717	37.4452880362169	41.1771982659058	64.0215921732205
PA14_RS27410	97.8778332337089	93.4814556670551	70.8876786348301	137.918507260687	139.48760393426	152.511392909322	97.1038825345963	107.060715491355	97.9153762649255
PA14_RS31050	137.801686263248	100.861570588138	91.3853206497207	77.3931191822559	65.0942151693215	60.6005534739027	52.6772696102712	47.3537780057917	20.7128680560419
PA14_RS27415	41.2117192562985	31.1604852223517	51.2441050372266	40.6809985445191	23.2479339890434	58.5805350247726	8.88532258486502	18.5297392196576	0
PA14_RS27420	136.513820036489	123.821928120398	82.8446364768496	107.159703483124	95.3165293550779	81.8107471897687	57.1199309027037	57.6480775722682	47.074700127368
PA14_RS31055	73.4083749252817	97.5815195121014	63.2010628792461	79.3775581356471	58.1198349726085	82.8207564143337	52.0426037113523	45.2949180924964	39.5427481069892
PA14_RS27425	25.7573245351866	22.9603575322592	24.7679841013262	35.7199011610412	37.9716255154375	30.3002767369514	41.2532834297304	30.8828986994294	30.1278080815155
PA14_RS27430	78.559839832319	63.1409832137127	56.3685155409492	81.3619970890383	77.4931132968113	94.9408671091143	87.5838940508123	70.0012370520399	103.56434028021
PA14_RS27435	29.6209232154645	30.3404724533425	37.5790103606328	25.7977063940853	21.6980717231072	15.1501383684757	33.6372926427033	22.6474590462482	28.2448200764208
PA14_RS27440	23.1815920816679	13.9402170731573	21.3517104321777	18.8521700572162	13.1738292604579	13.1301199193456	15.8666474729732	23.6768890028959	33.893784091705
PA14_RS27445	14.1665284943526	9.84015322811107	28.1842577704746	13.8910726737382	16.2735537923304	18.1801660421708	10.1546543827029	14.412019393067	0
PA14_RS27450	9.0150635873153	5.74008938306479	3.41627366914844	17.8599505805206	8.52424246264924	10.1000922456505	12.6933179783786	6.17657973988588	7.53195202037889
PA14_RS27455	7.72719736055597	15.5802426111759	14.5191630938809	15.8755116271294	18.5983471912347	21.210193715866	17.77064516973	5.14714978323823	7.53195202037889
PA14_RS27460	6.43933113379664	5.74008938306479	1.70813683457422	10.9144142436515	14.7236915263941	7.07006457195532	5.71199309027037	1.02942995664765	5.64896401528417
PA14_RS27465	19.3179934013899	16.4002553801851	7.68661575558399	13.8910726737382	13.948760393426	8.08007379652036	15.8666474729732	3.08828986994294	24.4788440662314
PA14_RS27470	6.43933113379664	6.56010215207404	5.97847892100977	7.93775581356471	6.97438019671302	7.07006457195532	10.7893202816218	2.05885991329529	5.64896401528417
PA14_RS27475	14.1665284943526	10.6601659971203	8.54068417287109	2.97665843008677	5.42451793077679	7.07006457195532	5.07732719135144	2.05885991329529	1.88298800509472
PA14_RS27480	6.43933113379664	14.7602298421666	17.9354367630293	23.8132674406941	14.7236915263941	25.2502306141261	25.3866359567572	27.7946088294864	13.1809160356631
PA14_RS27485	3.86359868027798	9.84015322811107	12.8110262593066	14.8832921504338	10.0741047285855	5.05004612282523	8.88532258486502	14.412019393067	11.2979280305683
PA14_RS27490	10.3029298140746	13.9402170731573	7.68661575558399	5.95331686017353	10.0741047285855	10.1000922456505	18.405311068649	14.412019393067	7.53195202037889
PA14_RS27495	9.0150635873153	36.9005746054165	31.6005314396231	29.7665843008677	41.8462811802781	30.3002767369514	18.405311068649	22.6474590462482	32.0107960866103
PA14_RS27500	21.8937258549086	24.6003830702777	11.9569578420195	23.8132674406941	32.5471075846608	34.3403136352115	18.405311068649	18.5297392196576	15.0639040407578
PA14_RS27505	16.7422609478713	62.3209704447034	64.0551312965332	31.7510232542588	45.7209368451187	47.4704335545571	24.1173041589193	49.412637919087	26.3618320713261
PA14_RS27510	16.7422609478713	12.3001915351388	12.8110262593066	9.92219476695589	13.948760393426	5.05004612282523	11.4239861805407	8.23543965318117	3.76597601018944
PA14_RS27515	169.998341932231	212.383307173397	219.495583242787	169.669530514946	205.35675023655	174.731595849753	125.029182087029	155.443923453795	171.35190846362
PA14_RS27520	173.861940612509	222.223460401508	194.727599141461	212.334968012856	254.177411613541	211.091927934094	156.762477032976	140.00247410408	173.234896468714
PA14_RS27525	200.907131374455	195.163039024203	190.457257055025	190.506139525553	192.95785210906	225.232057078005	220.863732823788	211.033141112767	184.532824499283
PA14_RS27530	472.646905220673	501.847814633664	518.419529293275	706.460267407259	817.552345281359	820.127490346817	816.815011908663	925.457531026234	828.514722241678
PA14_RS27535	43.7874517098172	88.5613790529996	108.466688995463	66.4787049386044	82.9176312275881	78.7807195160735	101.546543827029	73.0895269219829	79.0854962139783
PA14_RS27540	155.831813437879	214.023332711416	187.040983385877	240.117113360332	201.482094571709	214.12195560779	194.207765069193	201.768271502939	267.38429672345
PA14_RS27545	48.9389166168545	68.8810725967775	106.758552160889	127.004093017035	130.188430338643	145.441328337367	152.954481639462	119.413874971127	131.809160356631
PA14_RS27550	369.617607079927	551.868593543229	425.32607180898	759.047899672125	754.007992377974	673.676152784885	780.004389771365	756.63101813602	659.045801783153
PA14_RS27555	54.0903815238918	26.2404086082962	40.1412156124941	45.6420959279971	34.8719009835651	25.2502306141261	28.5599654513518	35.00061852602	16.9468920458525
PA14_RS27560	14.1665284943526	8.20012769009256	27.3301893531875	21.8288284873029	18.5983471912347	20.2001844913009	32.3679608448654	20.5885991329529	24.4788440662314
PA14_RS27565	1240.21517636923	1368.60131147645	1124.80810556712	1185.70227465123	1128.29972960157	1168.58067282176	1000.23345669623	937.810690506005	990.451690679824
PA14_RS27570	591.130598082532	579.749027689544	596.139755266402	553.658467996138	616.845181842618	523.184778324694	522.330034810279	504.420678757347	493.342857334817
PA14_RS27575	2221.56924115984	1502.26339282496	2195.80990084516	1470.46926446286	1966.0002843401	2308.88108735569	2017.60289266328	2386.21863950924	2513.78898680145
PA14_RS27580	65.6811775647257	75.4411747488515	134.942809931363	108.151922959819	104.615702950695	96.9608855582444	132.645172874056	116.325585101184	158.170992427957
PA14_RS27585	84.9991709661157	98.4015322811107	105.904483743602	120.058556680166	118.564463344121	129.281180744326	121.221186693516	109.11957540465	67.78756818341
PA14_RS27590	45.0753179365765	71.3411109038052	80.2824312249883	66.4787049386044	65.0942151693215	63.6305811475979	49.5039401156765	85.4426864017546	62.1386041681258
PA14_RS27595	24.4694583084272	25.4203958392869	17.9354367630293	23.8132674406941	34.096969850597	21.210193715866	25.3866359567572	40.1477683092582	35.7767720967997
PA14_RS27600	81.1355722858377	63.1409832137127	68.3254733829688	59.5331686017353	51.9203859088636	63.6305811475979	50.1386060145955	47.3537780057917	37.6597601018944
PA14_RS27605	145.528883623804	153.342387804731	153.73231511168	149.825140981034	136.387879402388	168.671540502363	126.933179783786	143.090763974023	129.926172351536
PA14_RS27610	73.4083749252817	96.7615067430922	103.34227849174	156.770677317903	92.9917359561736	98.9809040073744	102.815875624867	100.884135751469	114.862268310778
PA14_RS27615	51.5146490703731	56.5808810616386	43.5574892816426	71.4398023220824	61.994490637449	62.6205719230328	54.581267307028	66.912947182097	35.7767720967997
PA14_RS27620	762.416806241522	794.592373169969	720.83374419032	1009.08720779941	1168.59614851591	935.268541947232	865.68428612542	989.282188338388	751.312214032794
PA14_RS27625	63.1054451112071	61.5009576756942	57.2225839582363	50.603193311475	56.5699727066723	36.3603320843416	67.2745852854066	51.4714978323823	56.4896401528417
PA14_RS27630	182.877004199825	150.882349497703	170.813683457422	227.21826016329	261.151791810254	242.402213895611	206.266417148652	214.12143098271	256.086368692882
PA14_RS27635	507.419293343175	492.007661405553	382.622650944625	561.596223809703	596.696972385447	567.625184205555	586.431290601091	507.508968627289	611.971101655785
PA14_RS27640	113.332227954821	107.421672740212	125.548057341205	94.2608502860809	92.9917359561736	85.8507840880288	67.9092511843255	72.0600969653352	60.2556161630311
PA14_RS27645	354.163212358815	330.46514591073	292.945467129479	409.786643875278	409.163638207164	443.394049584055	352.239573900006	334.564735910485	453.800109227828
PA14_RS27650	267.87617516594	268.144175466027	319.421588065379	318.502452019284	375.066668356567	374.713422313632	322.410276650816	306.770127080999	346.469792937429
PA14_RS27655	56.6661139774104	49.2007661405553	64.0551312965332	51.5954127881706	71.2936642330664	65.6505995967279	47.5999424189197	50.4420678757347	60.2556161630311
PA14_RS27660	181.589137973065	198.44309010024	172.521820291996	220.272723826421	249.527824815732	211.091927934094	215.786405632436	219.268580765949	143.107088387199
PA14_RS27665	69.5447762450037	73.801149210833	64.9091997138203	87.3153139492118	50.3705236429274	65.6505995967279	45.061278823244	22.6474590462482	48.9576881324628
PA14_RS27670	97.8778332337089	150.062336728694	114.445167916473	98.2297281928633	130.963361471611	154.531411358452	123.125184390272	98.825275838174	114.862268310778
PA14_RS27675	112.044361728062	116.441813199314	126.402125758492	99.2219476695589	130.188430338643	59.5905442493377	72.351912476758	86.4721163584023	58.3726281579364
PA14_RS27680	132.650221356211	166.462592108879	147.75383619067	166.692872084859	158.085951125495	123.221125396936	153.589147538381	144.12019393067	152.522028412672
PA14_RS27685	159.695412118157	132.02205581049	122.985852089344	116.089678773384	144.912121865037	153.521402133887	156.127811134057	178.091382500043	146.873064397388
PA14_RS27690	27.0451907619459	21.3203319942406	22.2057788494648	18.8521700572162	20.1482094571709	19.1901752667359	12.0586520794597	6.17657973988588	15.0639040407578
PA14_RS27695	101.741431913987	99.2215450501199	83.6987048941367	108.151922959819	119.339394477089	107.060977803895	97.1038825345963	110.149005361298	167.58593245343
PA14_RS27700	191.89206778714	191.882987948166	244.263567344113	235.156015976855	262.70165407619	252.502306141261	239.903709791356	282.063808121455	303.16106882025
PA14_RS27705	10.3029298140746	7.3801149210833	9.3947525901582	16.867731103825	13.948760393426	16.1601475930407	15.2319815740543	22.6474590462482	3.76597601018944
PA14_RS27710	16.7422609478713	12.3001915351388	7.68661575558399	10.9144142436515	23.2479339890434	0	8.25065668594609	7.20600969653352	3.76597601018944
